object_id,term_taxonomy_id,term_order
413,131,0
283,200,0
27,2,0
26,2,0
28,2,0
43,2,0
44,2,0
45,2,0
46,2,0
53,8,0
53,82,0
138,83,0
138,3,0
138,52,0
138,84,0
53,9,0
71,10,0
71,3,0
71,11,0
71,12,0
71,13,0
71,8,0
71,14,0
71,15,0
71,16,0
73,17,0
73,3,0
73,18,0
73,19,0
73,13,0
73,20,0
75,21,0
75,3,0
75,22,0
75,23,0
75,24,0
75,25,0
75,26,0
75,27,0
75,13,0
75,19,0
75,28,0
75,12,0
75,29,0
75,30,0
75,31,0
75,32,0
75,8,0
75,33,0
75,34,0
75,35,0
75,36,0
75,37,0
75,38,0
75,39,0
79,9,0
79,3,0
79,40,0
79,41,0
79,42,0
86,43,0
86,3,0
86,44,0
86,45,0
86,46,0
91,47,0
91,3,0
91,48,0
91,49,0
91,50,0
91,51,0
91,52,0
102,53,0
102,3,0
102,54,0
102,55,0
102,56,0
102,57,0
102,58,0
104,59,0
104,3,0
104,60,0
104,61,0
104,62,0
104,63,0
104,64,0
108,2,0
420,216,0
110,2,0
551,293,0
420,220,0
420,242,0
114,2,0
117,65,0
117,6,0
117,66,0
117,67,0
119,68,0
119,4,0
119,69,0
119,70,0
119,71,0
121,72,0
121,6,0
121,73,0
121,21,0
121,43,0
121,74,0
121,59,0
126,2,0
128,1,0
128,75,0
128,76,0
128,21,0
128,17,0
128,9,0
128,43,0
128,53,0
130,2,0
135,77,0
135,7,0
135,78,0
135,79,0
135,80,0
135,13,0
53,81,0
140,8,0
140,3,0
140,85,0
140,86,0
140,87,0
140,88,0
142,89,0
142,81,0
142,5,0
142,52,0
142,84,0
142,14,0
142,13,0
144,89,0
144,81,0
144,5,0
144,52,0
144,84,0
144,14,0
144,13,0
146,81,0
146,90,0
146,52,0
146,84,0
148,89,0
148,81,0
148,52,0
148,84,0
148,14,0
148,13,0
150,91,0
150,81,0
150,52,0
150,84,0
154,81,0
152,92,0
152,52,0
152,84,0
152,93,0
152,81,0
154,94,0
154,52,0
154,84,0
154,13,0
160,95,0
160,81,0
160,52,0
160,84,0
162,96,0
162,81,0
162,97,0
162,98,0
162,52,0
162,99,0
162,100,0
162,101,0
162,102,0
162,103,0
315,13,0
165,104,0
165,81,0
165,3,0
165,105,0
165,106,0
165,107,0
165,108,0
165,109,0
165,110,0
165,111,0
315,93,0
168,112,0
168,3,0
168,113,0
168,52,0
168,114,0
168,115,0
168,14,0
168,116,0
168,117,0
168,102,0
168,111,0
315,84,0
171,118,0
171,3,0
171,119,0
171,120,0
171,121,0
171,122,0
171,123,0
171,124,0
171,125,0
171,126,0
171,127,0
171,128,0
315,5,0
174,129,0
174,81,0
174,52,0
174,84,0
174,93,0
176,130,0
176,81,0
176,52,0
176,84,0
176,13,0
185,131,0
185,6,0
185,132,0
185,133,0
185,134,0
185,135,0
185,136,0
315,81,0
190,1,0
190,111,0
190,137,0
190,138,0
190,139,0
190,140,0
190,141,0
190,142,0
190,143,0
190,61,0
190,144,0
190,93,0
195,145,0
195,3,0
195,52,0
195,84,0
195,93,0
197,5,0
197,146,0
197,52,0
197,84,0
197,93,0
199,147,0
199,81,0
199,52,0
199,84,0
199,93,0
201,148,0
201,5,0
201,149,0
203,150,0
203,5,0
203,52,0
203,84,0
203,111,0
203,151,0
203,13,0
203,152,0
203,153,0
203,154,0
203,155,0
203,156,0
203,157,0
203,158,0
203,159,0
203,160,0
203,161,0
203,162,0
203,163,0
203,164,0
203,165,0
203,166,0
203,167,0
207,81,0
207,5,0
207,147,0
207,52,0
207,84,0
207,93,0
213,168,0
213,3,0
213,52,0
213,84,0
213,93,0
213,13,0
215,5,0
215,169,0
215,52,0
215,84,0
215,93,0
218,170,0
218,81,0
218,171,0
218,172,0
218,173,0
220,174,0
220,81,0
220,52,0
220,84,0
222,175,0
222,81,0
222,176,0
222,177,0
222,15,0
225,178,0
225,3,0
225,179,0
225,180,0
225,181,0
229,182,0
229,3,0
229,183,0
229,184,0
229,52,0
229,185,0
229,186,0
229,14,0
229,13,0
229,111,0
233,187,0
233,3,0
233,52,0
233,84,0
233,93,0
233,13,0
235,188,0
235,81,0
235,52,0
235,84,0
237,81,0
237,189,0
237,52,0
237,84,0
237,13,0
239,189,0
239,3,0
239,52,0
239,84,0
239,13,0
241,81,0
241,190,0
241,52,0
241,84,0
241,111,0
244,2,0
246,191,0
246,81,0
246,52,0
246,84,0
246,93,0
248,192,0
248,81,0
248,52,0
248,84,0
250,193,0
250,81,0
250,52,0
250,84,0
252,5,0
252,194,0
252,52,0
252,84,0
252,14,0
252,13,0
315,52,0
262,195,0
262,81,0
262,52,0
262,84,0
262,93,0
262,13,0
264,196,0
264,81,0
264,52,0
264,84,0
264,13,0
269,197,0
269,81,0
269,195,0
269,52,0
269,84,0
269,93,0
269,13,0
271,198,0
271,81,0
271,3,0
271,52,0
271,84,0
271,93,0
271,14,0
271,13,0
274,199,0
274,3,0
274,52,0
274,84,0
274,14,0
274,13,0
276,200,0
276,81,0
276,52,0
276,84,0
276,14,0
276,13,0
283,81,0
283,52,0
283,84,0
283,14,0
283,13,0
286,201,0
286,81,0
286,52,0
286,84,0
289,202,0
289,3,0
289,52,0
289,84,0
289,13,0
291,202,0
291,3,0
291,52,0
291,84,0
291,13,0
294,203,0
294,3,0
294,52,0
294,84,0
294,14,0
294,13,0
297,52,0
297,81,0
297,3,0
297,61,0
297,93,0
297,19,0
297,14,0
300,204,0
300,81,0
300,3,0
300,52,0
300,84,0
300,93,0
300,13,0
303,205,0
303,81,0
303,3,0
303,52,0
303,84,0
303,13,0
303,111,0
305,206,0
305,81,0
305,3,0
305,52,0
305,84,0
307,207,0
307,81,0
307,3,0
307,52,0
307,84,0
307,13,0
310,208,0
310,81,0
310,3,0
310,52,0
310,84,0
310,13,0
315,111,0
318,209,0
318,81,0
318,52,0
318,84,0
323,210,0
323,3,0
323,5,0
323,52,0
323,84,0
323,14,0
323,13,0
325,27,0
325,81,0
325,3,0
325,147,0
325,33,0
325,19,0
325,34,0
327,52,0
327,81,0
327,3,0
327,211,0
327,93,0
327,14,0
367,214,0
367,213,0
367,212,0
367,81,0
367,3,0
367,52,0
367,84,0
367,111,0
86,215,0
86,5,0
378,212,0
378,216,0
378,5,0
378,4,0
378,6,0
378,217,0
378,52,0
378,84,0
378,14,0
390,219,0
390,218,0
390,216,0
390,212,0
390,7,0
390,52,0
390,84,0
390,93,0
390,13,0
392,221,0
392,220,0
392,222,0
392,223,0
392,224,0
402,2,0
404,226,0
404,225,0
404,220,0
404,227,0
404,228,0
404,229,0
410,221,0
410,230,0
410,231,0
410,232,0
410,233,0
412,2,0
413,234,0
413,220,0
413,235,0
413,236,0
415,236,0
415,239,0
415,238,0
415,237,0
415,220,0
415,240,0
415,241,0
420,81,0
420,234,0
420,218,0
420,6,0
420,238,0
420,235,0
420,93,0
420,52,0
420,221,0
422,244,0
422,243,0
422,220,0
422,237,0
422,5,0
422,7,0
422,4,0
422,245,0
422,246,0
422,247,0
422,248,0
422,249,0
422,250,0
422,251,0
422,252,0
422,253,0
429,254,0
429,220,0
429,234,0
429,5,0
429,7,0
429,238,0
429,240,0
429,13,0
429,235,0
429,221,0
429,14,0
432,61,0
432,230,0
432,218,0
432,239,0
432,243,0
432,4,0
432,238,0
432,14,0
432,13,0
432,240,0
432,65,0
432,71,0
436,221,0
436,5,0
436,7,0
436,6,0
436,238,0
436,255,0
436,14,0
436,13,0
436,65,0
436,240,0
438,52,0
438,257,0
438,256,0
438,243,0
438,7,0
438,6,0
438,238,0
438,30,0
438,258,0
441,259,0
441,215,0
441,216,0
441,212,0
441,213,0
441,6,0
441,52,0
441,84,0
441,111,0
521,92,0
446,2,0
447,261,0
447,260,0
447,52,0
447,14,0
447,262,0
447,216,0
447,234,0
447,218,0
447,7,0
447,4,0
447,6,0
447,238,0
452,263,0
452,220,0
452,7,0
452,4,0
452,238,0
452,221,0
452,255,0
452,13,0
452,71,0
452,240,0
455,264,0
455,216,0
455,212,0
455,234,0
455,225,0
455,7,0
455,6,0
455,238,0
455,52,0
455,84,0
455,93,0
458,216,0
458,52,0
458,84,0
458,93,0
460,266,0
460,265,0
460,267,0
464,2,0
473,261,0
473,5,0
476,269,0
476,268,0
476,270,0
476,271,0
480,2,0
485,272,0
485,218,0
485,52,0
485,93,0
487,273,0
487,216,0
487,52,0
487,111,0
490,274,0
490,216,0
490,52,0
492,275,0
492,216,0
492,52,0
497,277,0
497,276,0
497,52,0
499,278,0
499,218,0
499,52,0
499,93,0
501,5,0
501,261,0
501,52,0
501,14,0
503,279,0
503,213,0
503,52,0
503,111,0
507,281,0
507,280,0
507,282,0
507,283,0
516,2,0
521,243,0
521,248,0
521,93,0
523,285,0
523,284,0
523,94,0
523,13,0
527,221,0
527,220,0
529,286,0
529,216,0
529,52,0
529,84,0
531,287,0
531,276,0
531,288,0
543,290,0
543,289,0
543,291,0
543,292,0
549,2,0
551,243,0
551,294,0
551,295,0
553,221,0
553,220,0
555,296,0
555,218,0
555,52,0
555,84,0
555,93,0
555,13,0
557,219,0
557,218,0
557,52,0
557,84,0
557,93,0
557,13,0

